constructorResultsId,constructorId,points,name,nationality,year,round,circuitId,name_1,date,time
1,1,14,"McLaren","British",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
2,2,8,"BMW Sauber","German",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
3,3,9,"Williams","British",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
4,4,5,"Renault","French",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
5,5,2,"Toro Rosso","Italian",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
6,6,1,"Ferrari","Italian",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
7,7,0,"Toyota","Japanese",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
8,8,0,"Super Aguri","Japanese",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
9,9,0,"Red Bull","Austrian",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
10,10,0,"Force India","Indian",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
11,11,0,"Honda","Japanese",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00"
12,6,10,"Ferrari","Italian",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
13,2,11,"BMW Sauber","German",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
14,1,10,"McLaren","British",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
15,7,5,"Toyota","Japanese",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
16,9,2,"Red Bull","Austrian",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
17,4,1,"Renault","French",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
18,11,0,"Honda","Japanese",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
19,10,0,"Force India","Indian",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
20,3,0,"Williams","British",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
21,8,0,"Super Aguri","Japanese",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
22,5,0,"Toro Rosso","Italian",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00"
23,6,18,"Ferrari","Italian",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
24,2,11,"BMW Sauber","German",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
25,1,4,"McLaren","British",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
26,7,3,"Toyota","Japanese",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
27,9,2,"Red Bull","Austrian",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
28,3,1,"Williams","British",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
29,4,0,"Renault","French",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
30,11,0,"Honda","Japanese",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
31,10,0,"Force India","Indian",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
32,5,0,"Toro Rosso","Italian",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
33,8,0,"Super Aguri","Japanese",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00"
34,6,18,"Ferrari","Italian",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
35,1,6,"McLaren","British",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
36,2,5,"BMW Sauber","German",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
37,9,4,"Red Bull","Austrian",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
38,11,3,"Honda","Japanese",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
39,3,2,"Williams","British",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
40,7,1,"Toyota","Japanese",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
41,10,0,"Force India","Indian",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
42,8,0,"Super Aguri","Japanese",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
43,4,0,"Renault","French",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
44,5,0,"Toro Rosso","Italian",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00"
45,6,16,"Ferrari","Italian",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
46,1,8,"McLaren","British",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
47,2,9,"BMW Sauber","German",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
48,4,3,"Renault","French",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
49,9,2,"Red Bull","Austrian",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
50,3,1,"Williams","British",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
51,7,0,"Toyota","Japanese",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
52,11,0,"Honda","Japanese",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
53,10,0,"Force India","Indian",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
54,5,0,"Toro Rosso","Italian",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00"
55,1,11,"McLaren","British",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
56,2,8,"BMW Sauber","German",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
57,6,6,"Ferrari","Italian",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
58,9,5,"Red Bull","Austrian",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
59,5,4,"Toro Rosso","Italian",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
60,11,3,"Honda","Japanese",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
61,3,2,"Williams","British",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
62,4,0,"Renault","French",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
63,7,0,"Toyota","Japanese",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
64,10,0,"Force India","Indian",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00"
65,2,18,"BMW Sauber","German",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
66,9,6,"Red Bull","Austrian",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
67,7,8,"Toyota","Japanese",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
68,6,4,"Ferrari","Italian",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
69,11,2,"Honda","Japanese",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
70,5,1,"Toro Rosso","Italian",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
71,1,0,"McLaren","British",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
72,3,0,"Williams","British",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
73,10,0,"Force India","Indian",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
74,4,0,"Renault","French",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00"
75,6,18,"Ferrari","Italian",2008,8,8,"French Grand Prix","2008-06-22","12:00:00"
76,7,6,"Toyota","Japanese",2008,8,8,"French Grand Prix","2008-06-22","12:00:00"
77,1,5,"McLaren","British",2008,8,8,"French Grand Prix","2008-06-22","12:00:00"
78,2,4,"BMW Sauber","German",2008,8,8,"French Grand Prix","2008-06-22","12:00:00"
